id,score_smog1,score_smog2,score_smartway
20263,1.0,-1.0,NON
20264,1.0,-1.0,NON
20265,2.0,-1.0,NON
20266,2.0,-1.0,NON
20267,2.0,-1.0,NON
20268,1.0,-1.0,NON
20269,2.0,-1.0,NON
20270,2.0,-1.0,NON
20271,2.0,-1.0,NON
20272,2.0,-1.0,NON
20273,2.0,-1.0,NON
20274,5.0,-1.0,NON
20275,2.0,-1.0,NON
20276,1.0,-1.0,NON
20277,1.0,-1.0,NON
20278,2.0,-1.0,NON
20279,2.0,-1.0,NON
20280,1.0,-1.0,NON
20281,1.0,-1.0,NON
20282,1.0,-1.0,NON
20283,2.0,-1.0,NON
20284,5.0,-1.0,NON
20285,2.0,-1.0,NON
20286,1.0,-1.0,NON
20287,1.0,-1.0,NON
20288,1.0,-1.0,NON
20289,2.0,-1.0,NON
20290,2.0,-1.0,NON
